Digi-Key Part Number,Customer Reference,Quantity
1276-6995-1-ND,C11;C13;C14;C15;C16;C21;C22;C30;C23;C36;C38,11
1276-1566-1-ND,C28,1
1276-1566-1-ND,C37,1
1276-1028-1-ND,C26;C17;C24,3
CI100505-33NJCT-ND,L4,1
1276-1566-1-ND,C27,1
1276-1946-1-ND,C18;C12,2
478-10681-1-ND,C20,1
399-15003-1-ND,C19,1
399-15003-1-ND,C32;C31,2
478-11394-1-ND,C25,1
P0.0ACT-ND,C29,1
P0.0GCT-ND,R19,1
CRT0603-FZ-2002ESTCT-ND,R13,1
P0.0GCT-ND,R20,1
P0.0ACT-ND,R12;R15;R16;R17;R18;R14;R10;R9;R8,9
A126417CT-ND,R7,1
P0.0ACT-ND,R11,1
CONSMA001-SMD-G-ND,J3,1
MAX8510EXK30+TCT-ND,U4;U5,2
535-11782-1-ND,X1,1
LT1719IS6#TRMPBFCT-ND,U8,1
1276-6995-1-ND,C8;C6;C2,3
1276-6995-1-ND,C33;C35;C9,3
1276-1948-1-ND,C10,1
1276-1946-1-ND,C1,1
399-17612-1-ND,C5;C3,2
445-1420-1-ND,C7,1
445-5970-1-ND,C4;C34,2
A103037CT-ND,R2,1
YAG3590CT-ND,R6,1
A126417CT-ND,R5;R3;R1;R4,4
587-1828-1-ND,FB1,1
768-1024-1-ND,U2,1
497-1155-1-ND,U3,1
497-5235-1-ND,D1,1
609-4613-1-ND,J1,1
93LC46B-I/SN-ND,U1,1
CTX819DKR-ND,Y1,1
